,Question,Answer,Chunk IDs,Less Relevant Chunk IDs,Difficulty,Rationale,check_metric
"According to the NHANES 2001–2002 survey data, what are the average daily vitamin C intakes for adult males and adult females?",Adult males consume an average of 105.2 mg/day and adult females 83.6 mg/day of vitamin C.,2098,,Easy,None,general
"How does alpha-tocopherol influence vascular endothelial function and cell signaling according to the provided data?","Alpha-tocopherol inhibits protein kinase C, reducing cell proliferation and differentiation in vascular cells; it also increases the expression of enzymes that suppress arachidonic acid metabolism, thereby increasing prostacyclin release, which dilates blood vessels and inhibits platelet aggregation.",2686,,Medium,None,general
"What has been observed as a potential consequence of excessive dietary vitamin A intake in postmenopausal women?","Excessive dietary intake of vitamin A is associated with reduced bone mineral density and an increased risk of hip fracture in postmenopausal women.",675,,Medium,None,general
"Why is it important for individuals taking orlistat, especially over long periods, to monitor their vitamin K status?","Orlistat reduces the body’s absorption of dietary fat, which can also decrease the absorption of fat-soluble vitamins like vitamin K; therefore, monitoring vitamin K status is important, particularly during long-term use.",2873,,Hard,None,general
"In the feasibility trial conducted in Yunnan Province, China, what combination of supplements was administered to participants, and what adverse effects were reported?","Participants received a combination of retinol (25,000 IU), beta-carotene (50 mg), alpha-tocopherol (800 IU), and selenium (400 µg) each day, and no excessive adverse effects were reported for the active supplement groups.",369,,Hard,None,general
"What is the typical treatment for vitamin B12 deficiency in patients with Crohn’s disease, and what alternative dosage regimen has been suggested to be equally effective?","It is typically treated with intramuscular cobalamin injections, although high doses of oral cyanocobalamin therapy (e.g., 1,000 mcg/day) might be equally effective.",1766,,Easy,None,general
"How do the rates of vitamin B12 deficiency compare between individuals with celiac disease and those with Crohn’s disease according to the evidence, and what treatment approach is mentioned for Crohn’s patients?","The evidence indicates that vitamin B12 deficiency rates are higher in people with celiac disease, while the evidence for higher rates in people with Crohn’s disease is mixed; for Crohn’s patients, deficiency is typically managed with intramuscular cobalamin injections or high doses of oral cyanocobalamin.",1766,,Medium,None,general
"In comparing the Linxian and SU.VI.MAX trials, what were the observed differences in the efficacy of multivitamin/mineral supplements on cancer outcomes, and how did these effects differ by gender?","In the Linxian trial, the multivitamin/mineral supplements reduced cancer mortality by 21% in women and 7% in men, whereas in the SU.VI.MAX trial, a reduction in cancer incidence was observed only in men.",520,,Medium,None,general
"What limitation is associated with using an elevated plasma homocysteine level as an indicator for vitamin B12 deficiency, and what threshold level is mentioned in the context?","A serum homocysteine level higher than 15 micromol/L may suggest vitamin B12 deficiency; however, this marker has poor specificity because elevated homocysteine can be influenced by factors other than vitamin B12 status.",1741,,Hard,None,general
"How does the use of menadione in animal feed influence the vitamin K content of animal products, and what specific form of vitamin K is synthesized as a result?","When menadione, a synthetic form of vitamin K, is added to animal feed, animals synthesize MK-4, resulting in poultry and pork products containing MK-4.",2843,,Hard,None,general
What is the minimum amount of vitamin B12 that the FDA requires infant formulas to provide per 100 kcal?,Infant formulas in the United States must provide at least 0.15 mcg of vitamin B12 per 100 kcal.,1746,,Easy,None,general
"What are some of the severe consequences of untreated vitamin B12 deficiency in infants, especially when the deficiency in the mother is severe or unrecognized?","Untreated vitamin B12 deficiency in infants can lead to neurological damage, failure to thrive, developmental delays, and anemia.",1769,,Medium,None,general
"How do high dietary intakes of vitamin C and high-dose vitamin C supplements relate differently to the risk of cataract formation according to the research findings?","High dietary vitamin C intake is associated with a lower risk of cataract formation, whereas high-dose vitamin C supplements (approximately 1,000 mg/day) have been linked to a higher risk of age-related cataract extraction.",2125,,Medium,None,general
